uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044466,Isoda Akane,M1,1970,Japan,51.72,105,82,125,312,391.20
1,1044467,Gudnsteisdottir Maria,M1,1970,Iceland,56.38,142,77,160,380,444.75
2,1044468,Funk Jodi,M1,1973,USA,55.86,140,85,152,377,445.04
1,1044469,Meister Babette,M1,1973,Canada,62.10,145,77,175,397,431.59
2,1044470,Izindre Annelie,M1,1972,Sweden,59.90,157,102,135,395,440.95
3,1044471,Chizhevskaya Evgeniya,M1,1975,Russia,60.25,160,85,140,385,427.85
4,1044472,Iden Nicole,M1,1978,USA,61.45,137,77,130,345,377.62
0,1044473,Vinogradova Yuliya,M1,1972,Russia,61.20,155,70,152,0,0
1,1044474,Johansson Ulrika,M1,1972,Sweden,67.55,167,107,145,420,428.43
0,1044475,Croydon Catherine,M1,1991,Great Britain,69.70,140,87,155,0,0
1,1044476,Burroughs Catherine,M1,1976,Great Britain,82.25,165,87,167,420,378.59
1,1044477,Nikzad Fatemeh,M1,1978,Iran,84.85,125,70,145,340,301.69
