uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044623,Pok Kim Won,M4,1940,Hong Kong,50.82,75,60,115,250,251.35
1,1044624,Jadamba Baasandamba,M4,1944,Mongolia,65.00,100,80,120,300,238.56
1,1044625,Osawa Mitsuru,M4,1941,Japan,72.40,160,80,160,400,292.29
2,1044626,Rosenwald Mike,M4,1948,USA,71.70,140,80,152,372,274.15
0,1044627,Byambaa Tsegmed,M4,1940,Mongolia,73.45,185,95,185,0,0
1,1044628,Tseveendorj Maamchuluun,M4,1946,Mongolia,80.55,210,130,200,540,367.08
1,1044629,Foryś Kazimierz Michał,M4,1945,Germany,92.20,175,137,237,550,346.94
2,1044630,Lüdecke Günter,M4,1948,Germany,84.75,202,132,212,547,361.05
3,1044631,Ellender Michael,M4,1945,Great Britain,90.00,130,120,205,455,290.47
4,1044632,Banchin Baljinnyam,M4,1943,Mongolia,84.55,150,100,170,420,277.34
0,1044633,Curtis Raymond,M4,1932,USA,86.05,60,80,115,0,0
1,1044634,Helmich William,M4,1942,USA,103.30,100,120,180,400,240.43
2,1044635,Puhakka Tapani,M4,1944,Finland,93.10,70,105,140,315,197.78
1,1044636,Sandelin Raimo,M4,1940,Finland,118.35,85,80,120,285,164.39
