uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016083,Chay Henry,M2,1961,Great Britain,58.34,145,80,190,415,363.26
2,1016084,Shiiki Tomoyoshi,M2,1964,Japan,58.43,140,112,150,402,351.81
3,1016085,Nakamura Hideaki,M2,1960,Japan,58.78,127,105,160,392,341.16
4,1016086,Buisson Romuald,M2,1964,France,57.21,110,72,162,345,307.64
5,1016087,Ayala Morales Leovigildo,M2,1965,USA,56.43,100,75,120,295,266.56
1,1016088,Phillips Jeffery,M2,1965,USA,64.78,165,112,227,505,402.72
2,1016089,McGrath Jay,M2,1968,Canada,64.22,165,107,192,465,373.55
3,1016090,Pailler Fabrice,M2,1963,France,64.95,145,100,192,437,348.12
1,1016091,Ito Takayuki,M2,1964,Japan,73.57,210,127,245,582,420.74
2,1016092,Rakhimov Alimbek,M2,1966,Kyrgyzstan,73.95,200,152,227,580,417.40
3,1016093,Carrasco Gonsales Jacob,M2,1966,Peru,73.12,215,120,235,570,413.53
4,1016094,Siegle Matthias,M2,1963,Germany,73.72,202,130,227,560,403.90
5,1016095,Keenan Patrick,M2,1966,USA,71.15,197,127,212,537,397.86
6,1016096,McCullough Joe,M2,1966,Canada,73.15,190,117,220,527,382.59
7,1016097,McGarry Dean,M2,1967,Australia,72.17,175,112,227,515,377.20
8,1016098,Giliyar Vasudeva Ashok,M2,1960,India,73.78,155,90,195,440,317.17
1,1016099,Gibson Laddie,M2,1965,USA,82.20,215,176,260,651,437.06
2,1016100,Becker Jeff,M2,1963,Canada,82.50,230,145,262,637,427.07
3,1016101,Pasquier Philippe,M2,1967,France,81.25,220,125,235,580,392.16
4,1016102,Bryant Andrew,M2,1966,Canada,82.76,210,140,217,567,379.46
5,1016103,Heiskanen Heikki,M2,1960,Finland,82.16,187,132,215,535,359.29
6,1016104,Rasmusen Erik,M2,1962,Denmark,81.63,190,130,195,515,347.22
7,1016105,Yacoubi Sahli Abdelali,M2,1966,Marocco,81.21,160,150,190,500,338.17
1,1016106,Langfield Gordon,M2,1968,Canada,92.72,215,177,230,622,391.61
2,1016107,Urioste Nicolas,M2,1968,Uruguay,92.30,205,152,225,582,367.25
0,1016108,Ricks David,M2,1959,USA,92.40,290,197,312,0,0
1,1016109,Fritz Alvin,M2,1968,USA,104.61,270,167,287,725,433.80
2,1016110,Dąbrowski	Jarosław,M2,1965,Poland,104.82,230,160,295,685,409.87
3,1016111,Childs Andy,M2,1967,Canada,104.77,240,160,260,660,394.69
4,1016112,Nering Sterling,M2,1963,Canada,101.24,105,160,75,340,205.92
1,1016113,Wilcox Richard,M2,1967,USA,117.86,260,182,300,742,428.72
2,1016114,Murdoch Alistair,M2,1968,Great Britain,113.20,242,207,265,715,417.25
3,1016115,Kanát Zoltán,M2,1962,Czech Republic,114.29,270,170,265,705,410.32
4,1016116,Hocquard Richard,M2,1968,France,118.34,252,165,265,682,393.68
5,1016117,Holmes David,M2,1965,Canada,115.11,227,172,262,662,384.85
6,1016118,Andersen Ronny,M2,1964,Norway,119.53,220,162,270,652,375.48
7,1016119,Pinat Jean Claude,M2,1963,France,107.02,215,155,230,600,356.21
8,1016120,Dörfert Uwe,M2,1959,Germany,114.83,180,137,187,505,293.55
1,1016121,Moore William Beau,M2,1965,USA,167.89,305,215,320,840,457.41
2,1016122,Kerremans Johan,M2,1967,Belgium,132.65,280,185,300,765,431.16
3,1016123,Chard Tony,M2,1968,France,125.67,215,180,292,687,391.35
4,1016124,Seriese Harry,M2,1963,Netherlands,123.97,255,170,260,685,391.01
5,1016125,Rantala Timo,M2,1963,Finland,123.26,200,150,220,570,325.76
