uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044516,Yamamoto Eiji,M1,1973,Japan,58.78,160,130,170,460,399.83
2,1044517,Mandakh Gansukh,M1,1977,Mongolia,57.98,130,140,147,417,367.58
3,1044518,Angin Benoit,M1,1974,France,57.78,150,100,145,395,348.91
1,1044519,Noppers Lewis,M1,1970,Canada,65.80,227,147,255,630,495.91
2,1044520,Stepanov Evgeniy,M1,1976,Russia,65.80,242,150,235,627,493.94
3,1044521,Dugersuren Bayanmunkh,M1,1973,Mongolia,65.70,200,155,190,545,429.54
4,1044522,Cech Martin,M1,1974,Czech Republic,65.90,212,97,225,535,420.60
1,1044523,Hamada Nobuyuki,M1,1969,Japan,73.35,285,215,270,770,557.37
2,1044524,Sanduijav Enkhbat,M1,1974,Mongolia,73.30,262,152,255,670,485.22
3,1044525,Heiskanen Timo,M1,1970,Finland,73.45,255,132,260,647,468.24
4,1044526,Lauilhe Thierry,M1,1969,France,73.05,195,145,200,540,392.04
1,1044527,Rowe Benjamin,M1,1976,USA,82.35,285,185,275,745,499.63
2,1044528,Ganbat Nasanbat,M1,1975,Mongolia,81.85,245,197,255,697,469.49
3,1044529,Kumar Ashwani,M1,1975,India,77.50,245,132,220,597,416.37
1,1044530,McLaren Dale,M1,1976,USA,92.35,300,215,292,807,508.97
2,1044531,Hansen Kim Dahl,M1,1971,Denmark,92.90,287,182,280,750,471.38
3,1044532,Rogalski Sven,M1,1974,Germany,92.20,282,192,262,737,465.21
4,1044533,Nieland Guido,M1,1970,Germany,92.90,255,197,247,700,439.96
5,1044534,Ogawa Mitsuhisa,M1,1971,Japan,91.90,240,210,235,685,432.78
0,1044535,Khumuugul Battumur,M1,1974,Mongolia,92.45,292,270,170,0,0
1,1044542,Johnson Jason,M1,1971,USA,104.15,285,235,295,815,488.41
2,1044543,Damdin Uuganbayar,M1,1976,Mongolia,104.20,305,252,242,800,479.34
3,1044544,Leffers Thomas,M1,1977,Germany,104.45,280,220,275,775,463.96
4,1044545,Shibata Michio,M1,1978,Japan,104.85,295,240,240,775,463.34
0,1044547,Lillbacka Timo,M1,1975,Finland,104.70,245,145,0,0,0
0,1044546,Bowring Dean,M1,1974,Great Britain,104.65,305,245,305,0,0
1,1044548,Henderson Barron,M1,1976,USA,119.80,330,187,300,817,470.18
2,1044549,Damdinbal Otgonbaatar,M1,1975,Mongolia,117.45,295,232,240,767,443.54
3,1044550,Mattila Kaj,M1,1970,Finland,113.80,285,230,240,755,439.94
4,1044551,Oproiu Cristian,M1,1978,Romania,105.20,275,210,265,750,447.87
5,1044552,P Lalchamliana,M1,1977,India,107.10,255,187,235,677,402.12
6,1044553,Foreman Matthew,M1,1972,USA,117.95,277,160,237,675,389.67
7,1044554,Davies Dylan,M1,1971,Great Britain,119.55,240,180,255,675,388.41
0,1044555,Cazacu Sorin Vasile,M1,1973,Romania,117.95,340,255,265,0,0
1,1044556,Davenport Steven,M1,1971,USA,131.55,327,255,310,892,503.74
2,1044557,Magistrale Steve,M1,1973,Canada,132.60,340,245,300,885,498.82
3,1044558,Pinc Jan,M1,1973,Czech Republic,127.60,315,270,290,875,496.60
4,1044559,Purev Boldbaatar,M1,1971,Mongolia,130.00,310,285,245,840,475.10
5,1044560,Chantler James,M1,1971,USA,147.90,250,185,255,690,382.53
0,1044561,Nilsson Alexander,M1,1970,Norway,134.40,350,275,75,0,0
