uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044509,Kumpuniemi Eila,M4,1942,Finland,46.48,90,45,100,235,319.26
1,1044510,Elwyn Susan,M4,1947,USA,47.30,100,45,130,275,368.15
2,1044511,Burns Bebe,M4,1942,USA,50.60,77,42,90,210,267.34
1,1044512,Malicot Maryse,M4,1946,France,52.50,90,45,95,230,284.61
2,1044513,Uvachan Nadezhda,M4,1944,Russia,55.20,80,45,85,210,249.89
1,1044514,Fomina Tatyana,M4,1946,Russia,60.35,115,50,130,295,327.97
1,1044515,Moore Gail,M4,1947,USA,71.40,130,87,142,360,353.35
