uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016485,Elwyn Susan,M4,1947,USA,45.87,85,40,120,245,335.26
1,1016486,Aiazzi Joyce,M4,1946,USA,48.67,67,47,95,210,275.29
1,1016487,Simmons Sandy,M4,1948,USA,56.14,70,45,97,212,249.54
1,1016488,Koolhaas - Revers Ina,M4,1947,Netherlands,59.75,90,57,133,280,313.74
2,1016489,"White Helen ""Kathie""",M4,1945,USA,61.20,82,60,122,265,291.51
1,1016490,Kasabuske Sandra,M4,1948,USA,66.31,75,40,107,222,230.03
2,1016491,Clausen Anne Mari,M4,1942,Norway,71.96,67,45,92,205,200.16
1,1016492,Haynes Nan Shirley,M4,1940,USA,92.74,82,55,112,250,213.46
2,1016493,Webb Shirley,M4,1937,USA,97.52,50,37,112,200,167.80
