uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016126,Uraki Mitsuhiro,M3,1957,Japan,58.53,140,92,182,415,362.59
2,1016127,Drenik Jr. Philip,M3,1956,USA,57.84,135,72,177,385,339.75
3,1016128,Nemoto Naotaka,M3,1952,Japan,57.52,120,80,160,360,319.36
1,1016129,Lofing Monte,M3,1958,USA,65.19,185,97,182,465,369.26
2,1016130,Auberval Georges,M3,1956,France,65.96,160,60,180,400,314.24
3,1016131,Pauly N I,M3,1956,India,63.38,125,85,155,365,296.53
4,1016132,Lovell Don,M3,1951,Canada,64.92,115,62,172,350,278.61
0,1016133,Cuvelier Alain,M3,1953,France,64.05,142,90,172,0,0
0,1016134,Hachisu Mitsugu,M3,1950,Japan,64.71,160,120,187,0,0
1,1016135,Vachon Bernard,M3,1955,Canada,72.41,206,85,235,526,384.69
2,1016136,Hindley Bob,M3,1958,Canada,71.50,162,80,220,462,341.09
3,1016137,Yasukura Akinori,M3,1958,Japan,73.25,180,95,180,455,329.68
4,1016138,Stridh Bo,M3,1952,Sweden,72.76,150,105,190,445,324.00
5,1016139,Malenfant Patrick,M3,1958,France,72.54,142,105,160,407,297.35
0,1016140,Voisin Christian,M3,1956,France,71.36,200,127,212,0,0
1,1016141,Delaney Ron,M3,1951,Canada,82.53,177,120,247,545,365.02
2,1016142,Zoerb Brett,M3,1958,Canada,81.58,187,122,207,517,349.04
3,1016143,LaFlamme John,M3,1950,USA,82.06,192,107,217,517,347.79
4,1016144,Howe Alexander,M3,1957,USA,80.38,145,102,192,440,299.49
5,1016145,Naronha Louis,M3,1957,India,81.22,125,80,140,345,233.32
6,1016146,Rathore Jagdish Chandra,M3,1949,India,77.64,110,65,120,295,205.33
1,1016147,Mauchosse Eric,M3,1958,France,92.15,230,130,260,620,391.20
2,1016148,Aarhus Jens,M3,1954,Sweden,92.56,220,132,227,580,365.18
3,1016149,D Chandrababu,M3,1957,India,83.16,130,77,142,350,233.36
0,1016150,Gedye Roger,M3,1956,New Zealand,90.27,152,117,220,0,0
1,1016151,Gromek Józef,M3,1958,Poland,93.09,237,140,260,637,400.29
2,1016152,Räsänen Veijo,M3,1957,Finland,100.79,200,160,265,625,379.19
3,1016153,De Grauwe Hugo,M3,1954,Belgium,102.98,215,130,242,587,353.53
4,1016154,Hoegberg Thomas,M3,1954,Sweden,104.61,215,137,225,577,345.54
5,1016155,Kozai Kazuyoshi,M3,1956,Japan,99.15,212,132,205,550,335.88
6,1016156,McCoy Rory,M3,1955,USA,104.49,187,125,235,547,327.72
7,1016157,Koprnicky Miroslav,M3,1951,Canada,99.49,182,150,205,537,327.79
8,1016158,Hopp Rudiger,M3,1955,Sweden,101.98,205,115,200,520,314.06
9,1016159,Belmas Jean-Paul,M3,1949,France,99.63,190,110,190,490,298.65
1,1016160,Strong Ron,M3,1958,Canada,118.53,233,152,280,665,383.73
2,1016161,Panaro Frank,M3,1951,USA,110.79,232,135,272,640,375.82
3,1016162,Shadyun Sergey,M3,1957,USA,118.47,215,135,212,562,324.38
4,1016163,Maguire John,M3,1954,Ireland,118.59,175,150,220,545,314.21
1,1016164,Wainwright Curtis,M3,1954,USA,124.93,228,127,240,595,339.38
2,1016165,O'Dwyer John,M3,1955,Ireland,131.75,200,167,200,567,320.22
3,1016166,Aitken Kelvin,M3,1957,Australia,121.22,202,25,150,377,216.53
